Team1,Team2,Winner,Margin,Runs/wicket,Ground,Match Date,Scorecard
RCB,RR,RCB,11,runs,Bengaluru,"Apr 24, 2025",Twenty20
SRH,MI,MI,7,wickets,Hyderabad,"Apr 23, 2025",Twenty20
LSG,DC,DC,8,wickets,Lucknow,"Apr 22, 2025",Twenty20
KKR,GT,GT,39,runs,Eden Gardens,"Apr 21, 2025",Twenty20
MI,CSK,MI,9,wickets,Wankhede,"Apr 20, 2025",Twenty20
PBKS,RCB,RCB,7,wickets,New Chandigarh,"Apr 20, 2025",Twenty20
RR,LSG,LSG,2,runs,Jaipur,"Apr 19, 2025",Twenty20
GT,DC,GT,7,wickets,Ahmedabad,"Apr 19, 2025",Twenty20
RCB,PBKS,PBKS,5,wickets,Bengaluru,"Apr 18, 2025",Twenty20
MI,SRH,MI,4,wickets,Wankhede,"Apr 17, 2025",Twenty20
DC,RR,tied,-,-,Delhi,"Apr 16, 2025",Twenty20
PBKS,KKR,PBKS,16,runs,New Chandigarh,"Apr 15, 2025",Twenty20
LSG,CSK,CSK,5,wickets,Lucknow,"Apr 14, 2025",Twenty20
DC,MI,MI,12,runs,Delhi,"Apr 13, 2025",Twenty20
RR,RCB,RCB,9,wickets,Jaipur,"Apr 13, 2025",Twenty20
