Player1,Player2,Runs,O/NO,Wickets,Team,Opposition,Ground,Match Date,Scorecard
SPD Smith, RR Pant,58,out,3rd,DC,SRH,Chennai,25/04/2021,Twenty20
SV Samson, S Dube,57,out,3rd,RR,MI,Delhi,29/04/2021,Twenty20
MK Pandey, JM Bairstow,57,out,1st,SRH,RR,Delhi,02/05/2021,Twenty20
N Pooran, AK Markram,57,out,3rd,PBKS,RR,Dubai (DICS),21/09/2021,Twenty20
RG Sharma, Q de Kock,57,out,1st,MI,RCB,Dubai (DICS),26/09/2021,Twenty20
KS Williamson, JJ Roy,57,out,2nd,SRH,RR,Dubai (DICS),27/09/2021,Twenty20
WP Saha, JJ Roy,57,out,1st,SRH,RR,Dubai (DICS),27/09/2021,Twenty20
RD Gaikwad, MM Ali,57,out,3rd,CSK,RR,Abu Dhabi,02/10/2021,Twenty20
KA Jamieson, AB de Villiers,56,not out,5th,RCB,KKR,Chennai,18/04/2021,Twenty20
SV Samson, YBK Jaiswal,56,out,2nd,RR,SRH,Dubai (DICS),27/09/2021,Twenty20
MK Pandey, PK Garg,56,out,5th,SRH,MI,Abu Dhabi,08/10/2021,Twenty20
RA Jadeja, RD Gaikwad,55,not out,5th,CSK,RR,Abu Dhabi,02/10/2021,Twenty20
RG Sharma, Q de Kock,55,out,1st,MI,SRH,Chennai,17/04/2021,Twenty20
Shubman Gill, N Rana,55,out,3rd,KKR,SRH,Dubai (DICS),03/10/2021,Twenty20
RM Patidar, AB de Villiers,54,out,4th,RCB,DC,Ahmedabad,27/04/2021,Twenty20
E Lewis, YBK Jaiswal,54,out,1st,RR,PBKS,Dubai (DICS),21/09/2021,Twenty20
D Padikkal, GJ Maxwell,54,out,4th,RCB,SRH,Abu Dhabi,06/10/2021,Twenty20
SK Raina, MM Ali,53,out,3rd,CSK,DC,Wankhede,10/04/2021,Twenty20
Shubman Gill, N Rana,53,out,1st,KKR,SRH,Chennai,11/04/2021,Twenty20
SV Samson, S Dube,53,out,4th,RR,PBKS,Wankhede,12/04/2021,Twenty20
GJ Maxwell, AB de Villiers,53,out,4th,RCB,KKR,Chennai,18/04/2021,Twenty20
SPD Smith, S Dhawan,53,out,2nd,DC,MI,Chennai,20/04/2021,Twenty20
KL Rahul, Q de Kock,210,not out,1st,LSG,KKR,DY Patil,18/05/2022,Twenty20
RD Gaikwad, DP Conway,182,out,1st,CSK,SRH,Pune,01/05/2022,Twenty20
RV Uthappa, S Dube,165,out,3rd,CSK,RCB,DY Patil,12/04/2022,Twenty20
D Padikkal, JC Buttler,155,out,1st,RR,DC,Wankhede,22/04/2022,Twenty20
DA Warner, MR Marsh,144,out,2nd,DC,RR,DY Patil,11/05/2022,Twenty20
