Player,Team,Year,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Abhishek Sharma ,SRH,2021,8,6,60,10,-,64,4,02-Apr,16,6.4,15,-,-
Abhishek Sharma ,SRH,2023,11,5,72,12,-,124,2,Jan-26,62,10.33,36,-,-
Abhishek Sharma ,SRH,2024,16,4,42,7,-,51,2,Feb-24,25.5,7.28,21,-,-
AD Russell ,KKR,2020,10,7,108,18,-,175,6,Feb-29,29.16,9.72,18,-,-
AD Russell ,KKR,2021,10,8,114,19,-,188,11,May-15,17.09,9.89,10.36,-,1
AD Russell ,KKR,2022,14,13,169,28.1,-,278,17,04-May,16.35,9.86,9.94,1,-
AD Russell ,KKR,2023,14,9,91,15.1,-,172,7,Mar-22,24.57,11.34,13,-,-
AD Russell ,KKR,2024,15,14,176,29.2,-,295,19,Mar-19,15.52,10.05,9.26,-,-
AD Russell ,KKR,2025,12,8,97,16.1,-,183,8,Feb-21,22.87,11.31,12.12,-,-
AF Milne ,MI,2021,4,4,84,14,-,131,3,Feb-21,43.66,9.35,28,-,-
AJ Tye ,RR,2020,1,1,24,4,-,50,1,Jan-50,50,12.5,24,-,-
AJ Tye ,LSG,2022,3,3,66,11,-,107,2,Feb-40,53.5,9.72,33,-,-
AK Markram ,LSG,2025,11,4,60,10,-,88,4,Feb-30,22,8.8,15,-,-
Akash Deep ,RCB,2022,5,5,113,18.5,1,205,5,Mar-45,41,10.88,22.6,-,-
Akash Deep ,RCB,2024,1,1,21,3.3,-,55,1,Jan-55,55,15.71,21,-,-
Akash Deep ,LSG,2025,4,4,72,12,-,147,3,Feb-55,49,12.25,24,-,-
Akash Singh ,CSK,2023,6,6,114,19,-,188,5,Feb-40,37.6,9.89,22.8,-,-
Akash Singh ,LSG,2025,1,1,24,4,-,30,2,Feb-30,15,7.5,12,-,-
AR Patel ,DC,2020,15,15,306,51,-,327,9,Feb-18,36.33,6.41,34,-,-
AR Patel ,DC,2021,12,12,276,46,-,306,15,Mar-21,20.4,6.65,18.4,-,-
AR Patel ,DC,2022,13,13,258,43,-,321,6,02-Oct,53.5,7.46,43,-,-
AR Patel ,DC,2023,14,13,282,47,-,338,11,Feb-13,30.72,7.19,25.63,-,-
AR Patel ,DC,2024,14,14,264,44,-,337,11,Feb-25,30.63,7.65,24,-,-
AR Patel ,DC,2025,12,11,198,33,-,278,5,Feb-19,55.6,8.42,39.6,-,-
Arshad Khan ,MI,2023,6,6,85,14.1,-,190,5,Mar-39,38,13.41,17,-,-
Arshad Khan ,GT,2025,6,6,84,14,-,132,4,Jan-17,33,9.42,21,-,-
Arshdeep Singh ,PBKS,2020,8,8,149,24.5,1,218,9,Mar-23,24.22,8.77,16.55,-,-
Arshdeep Singh ,PBKS,2021,12,12,248,41.2,-,342,18,May-32,19,8.27,13.77,-,1
Arshdeep Singh ,PBKS,2022,14,14,300,50,-,385,10,Mar-37,38.5,7.7,30,-,-
Arshdeep Singh ,PBKS,2023,14,14,305,50.5,-,493,17,Apr-29,29,9.69,17.94,1,-
Arshdeep Singh ,PBKS,2024,14,14,302,50.2,-,505,19,Apr-29,26.57,10.03,15.89,1,-
Arshdeep Singh ,PBKS,2025,12,10,218,36.2,1,291,16,Mar-16,18.18,8,13.62,-,-
AS Joseph ,GT,2022,9,9,180,30,-,264,7,Feb-34,37.71,8.8,25.71,-,-
AS Joseph ,GT,2023,7,7,144,24,-,225,7,Feb-27,32.14,9.37,20.57,-,-
AS Rajpoot ,RR,2020,6,6,102,17,-,199,2,Jan-39,99.5,11.7,51,-,-
AS Roy ,KKR,2022,2,2,42,7,-,55,1,Jan-28,55,7.85,42,-,-
AS Roy ,KKR,2023,4,3,48,8,-,65,3,Feb-19,21.66,8.12,16,-,-
AS Roy ,KKR,2025,1,1,24,4,-,27,1,Jan-27,27,6.75,24,-,-
AS Tendulkar ,MI,2023,4,4,59,9.5,-,92,3,01-Sep,30.66,9.35,19.66,-,-
Ashwani Kumar ,MI,2025,4,4,72,12,-,133,8,Apr-24,16.62,11.08,9,1,-
AU Rashid ,SRH,2023,2,2,42,7,-,56,2,Feb-23,28,8,21,-,-
Avesh Khan ,DC,2021,16,16,366,61,-,450,24,Mar-13,18.75,7.37,15.25,-,-
Avesh Khan ,LSG,2022,13,13,286,47.4,1,416,18,Apr-24,23.11,8.72,15.88,1,-
Avesh Khan ,LSG,2023,9,9,174,29,-,283,8,Mar-25,35.37,9.75,21.75,-,-
Avesh Khan ,RR,2024,16,15,329,54.5,-,526,19,Mar-27,27.68,9.59,17.31,-,-
Avesh Khan ,LSG,2025,10,10,225,37.3,-,379,10,Mar-37,37.9,10.1,22.5,-,-
Azmatullah Omarzai ,GT,2024,7,7,126,21,-,186,4,Feb-27,46.5,8.85,31.5,-,-
Azmatullah Omarzai ,PBKS,2025,5,3,60,10,-,101,3,Feb-33,33.66,10.1,20,-,-
B Kumar ,SRH,2020,4,4,85,14.1,-,99,3,Feb-25,33,6.98,28.33,-,-
B Kumar ,SRH,2021,11,11,252,42,1,335,6,Jan-16,55.83,7.97,42,-,-
B Kumar ,SRH,2022,14,14,313,52.1,2,383,12,Mar-22,31.91,7.34,26.08,-,-
B Kumar ,SRH,2023,14,14,306,51,1,425,16,May-30,26.56,8.33,19.12,-,1
B Kumar ,SRH,2024,16,16,342,57,2,533,11,Mar-41,48.45,9.35,31.09,-,-
